Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|round_name|round_order|heat_number|heat_place|ФИО|Год рождения|Разряд|Регион
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|1|final|0|1|1|Илясов Дмитрий Александрович|1989|МС|Санкт-Петербург
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|2|final|0|1|2|Вахрушев Владимир Ильич|1994|2|Санкт-Петербург
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|3|final|0|1|3|Крысенков Глеб Юрьевич|1990|2|Санкт-Петербург
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|4|final|0|1|4|Исаков Евгений Леонидович|1983|МС|Калининградская область
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|5|semifinal|1|1|3|Филинов Даниил Анатольевич|1985|КМС|Приморский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|5|semifinal|1|2|3|Багдасарян Максим Левонович|2008|2|Калининградская область
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|7|semifinal|1|1|4|Ременников Константин Сергеевич|1984|1|Приморский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|7|semifinal|1|2|4|Гальчук Александр Александрович|1987|3|Приморский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|9|quarterfinal|2|3|3|Барсуков Сергей Витальевич|2005|2|Приморский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|9|quarterfinal|2|4|3|Шушаков Роман Евгеньевич|1995|2|Калининградская область
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|9|quarterfinal|2|1|3|Синица Петр Всеволодович|1985|1|Калининградская область
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|9|quarterfinal|2|2|3|Кравченко Алексей Александрович|1984|3|Санкт-Петербург
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|13|round1|3|5|3|Каптелов Петр Валерьевич|1990|1|Калининградская область
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|13|round1|3|2|3|Левицкий Дионис Юрьевич|1991|3|Приморский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|13|round1|3|6|3|Копров Павел Александрович|1990|2|Санкт-Петербург
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|13|round1|3|4|3|Блискунов Дмитрий Александрович|1990|3|Калининградская область
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|13|round1|3|1|3|Чередниченко Андрей Борисович|1982|2|Приморский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|13|round1|3|3|3|Жарченко Владислав Викторович|1991|2|Приморский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|17|round1|3|5|4|Новожилов Данила Вадимович|1988|2|Санкт-Петербург
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|17|round1|3|4|4|Дроздов Дмитрий Романович|1998|3|Приморский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|17|round1|3|2|4|Смирнов Михаил Геннадьевич|1982|3|Санкт-Петербург
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|17|round1|3|1|4|Ломаев Владимир Александрович|1993|3|Санкт-Петербург
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|17|round1|3|6|4|Артюхин Марк Алексеевич|2007|3|Камчатский край
2024|2024.10.03-15|Чемпионат России|Владивосток|серфинг|длинная доска|мужчины|17|round1|3|3|4|Ткачук Дмитрий Сергеевич|1986|3|Мурманская область
