Rank,Name,Sport Rank,Birthday,Region,Category,2022,2023,2024,Total Points
1,Исаков Евгений,МС,1981,Калининградская область,мужчины,10000,6085,5685,21770
2,Вахрушев Владимир,2,1994,Санкт-Петербург,мужчины,4745,5685,7800,18230
3,Филинов Даниил,КМС,1985,Приморский край,мужчины,3320,10000,4745,18065
4,Илясов Дмитрий,МС,1989,Санкт-Петербург,мужчины,7800,0,10000,17800
5,Каптелов Петр,1,1981,Калининградская область,мужчины,6085,4745,3320,14150
6,Ременников Константин,1,1984,Приморский край,мужчины,4745,3320,4745,12810
7,Фомин Максим,3,1982,Московская область,мужчины,4745,7800,0,12545
8,Новожилов Данила,2,1988,Санкт-Петербург,мужчины,4745,4745,1900,11390
9,Копров Павел,2,1990,Санкт-Петербург,мужчины,3320,4745,3320,11385
10,Крысенков Глеб,2,1990,Санкт-Петербург,мужчины,0,3320,6085,9405
