Rank,Name,Sport Rank,Birth Year,Region,Category,2022,2023,2024,2025,Total Points
1,Тихонова Анна,МС,1997,Калининградская область,женщины,7800,10000,10000,4564,32364
2,Матвеева Анна,КМС,1985,Калининградская область,женщины,5584,7800,5584,5584,24552
3,Вяткина Анна,1,1997,Сахалинская область,женщины,0,4564,6084,7800,18448
4,Бланк Мария,1,1992,Калининградская область,женщины,0,0,7800,10000,17800
5,Позняк Анна,1,1985,Москва,женщины,4014,6084,4564,0,14662
6,Второва Елена,КМС,1989,Москва,женщины,10000,0,0,0,10000
7,Климова Мария,2,1989,Калининградская область,женщины,0,3150,1600,4564,9314
8,Морозова Александра,2,1993,Санкт-Петербург,женщины,0,0,3150,6084,9234
9,Пыжова Алена,2,1988,Санкт-Петербург,женщины,0,3150,2880,3150,9180
10,Силютина Алина,3,1996,Приморский край,женщины,4014,4014,0,0,8028
11,Тихолаз Ульяна,2,1993,Санкт-Петербург,женщины,4564,3150,0,0,7714
12,Кузьмина Полина,3,1993,Санкт-Петербург,женщины,0,2880,1440,2880,7200
13,Филинова Галина,2,1984,Приморский край,женщины,0,5584,1600,0,7184
14,Рудик Майи,КМС,1984,Москва,женщины,0,3150,3150,0,6300
15,Галимова Чулпан,1,1987,Татарстан,женщины,6084,0,0,0,6084
16,Горба Мария,2,1990,Санкт-Петербург,женщины,0,0,1600,4014,5614
17,Коровина Виктория,3,1987,Приморский край,женщины,0,0,1600,3150,4750
18,Степанец Мария,МС,1989,Санкт-Петербург,женщины,0,0,4564,0,4564
19,Климова Наталья,3,2000,Калининградская область,женщины,0,4564,0,0,4564
20,Чимытова Кристина,3,1984,Камчатский край,женщины,4564,0,0,0,4564
21,Герасимова Екатерина,3,1986,Калининградская область,женщины,0,0,1600,2880,4480
22,Любешкина Дарья,1,1986,Краснодарский край,женщины,0,0,0,4014,4014
23,Силивончик Анастасия,2,1994,Приморский край,женщины,0,0,4014,0,4014
24,Смирнова Вероника,3,1995,Санкт-Петербург,женщины,0,0,4014,0,4014
25,Архангельская Екатерина,3,1998,Москва,женщины,0,4014,0,0,4014
26,Куллен Оксана,3,1980,Сахалинская область,женщины,4014,0,0,0,4014
27,Лукина Екатерина,3,1993,Краснодарский край,женщины,0,0,0,3150,3150
28,Фурсова Татьяна,1,1980,Самарская область,женщины,0,0,0,3150,3150
29,Кабаргина Кира,3,1987,Приморский край,женщины,0,0,3150,0,3150
30,Горанько Эвелина,2,2007,Камчатский край,женщины,0,0,3150,0,3150
31,Ходырева Ольга,3,1986,Приморский край,женщины,3084,0,0,0,3084
32,Зикратова Элла,3,1988,Камчатский край,женщины,3016,0,0,0,3016
33,Дыба Екатерина,3,1990,Камчатский край,женщины,3016,0,0,0,3016
34,Кузьмина Маргарита,2,1992,Краснодарский край,женщины,0,0,0,2880,2880
35,Еремина Ирина,3,1991,Санкт-Петербург,женщины,0,0,0,2880,2880
36,Данькова Елизавета,3,2000,Калининградская область,женщины,0,0,2880,0,2880
37,Шабалина Людмила,3,1991,Санкт-Петербург,женщины,0,0,2880,0,2880
38,Александровская Анна,3,1994,Мурманская область,женщины,0,0,2880,0,2880
39,Бороденкова Екатерина,3,1989,Калининградская область,женщины,0,2880,0,0,2880
40,Бугаева Наталия,3,2002,Мурманская область,женщины,0,0,0,1600,1600
41,Ковалева Анастасия,2,1983,Приморский край,женщины,0,0,1600,0,1600
42,Якубовская Нина,3,1989,Приморский край,женщины,0,0,1600,0,1600
43,Петрова Анна,3,1982,Приморский край,женщины,0,0,1600,0,1600
44,Ясинская Анна,3,1990,Приморский край,женщины,0,0,1440,0,1440
45,Болгова Алиса,3,2011,Калининградская область,женщины,0,0,0,0,0
46,Мысовская Дина,,1984,Санкт-Петербург,женщины,0,0,0,0,0
