Rank,Name,Sport Rank,Birthday,Region,Category,2022,2023,2024,Total Points
1,Авдеев Никита,МС,2000,Камчатский край,мужчины,10000,0,10000,20000
2,Какурин Эльдар,2,1983,Москва,мужчины,3320,10000,4745,18065
3,Исаков Евгений,МС,1983,Калининградская область,мужчины,6085,7800,3320,17205
4,Зылев Даниил,2,1982,Москва,мужчины,4745,6085,4745,15575
5,Павликов Константин,1,1984,Санкт-Петербург,мужчины,3320,5685,4745,13750
6,Суворов Алексей,2,1986,Приморский край,мужчины,1900,4745,3320,9965
7,Старков Андрей,3,1985,Москва,мужчины,4745,4745,0,9490
8,Порицкий Сергей,3,1990,Санкт-Петербург,мужчины,0,4745,3320,8065
9,Расшиваев Сергей,3,1984,Санкт-Петербург,мужчины,4745,0,3320,8065
10,Яковлев Денис,2,1979,Краснодарский край,мужчины,0,0,7800,7800
