Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Авдеев Никита,МС,2000,Камчатский край,мужчины,0,10000,10000,7800,10000,0,10000,47800
2,Расшиваев Сергей,3,1984,Санкт-Петербург,мужчины,10000,7800,5685,3320,4745,0,3320,34870
3,Исаков Евгений,МС,1983,Калининградская область,мужчины,7800,4745,0,3320,6085,7800,3320,33070
4,Волков Егор,КМС,2000,Санкт-Петербург,мужчины,0,5685,7800,10000,7800,0,0,31285
5,Павликов Константин,1,1984,Санкт-Петербург,мужчины,4745,0,3320,3320,3320,5685,4745,25135
6,Зылев Даниил,2,1982,Москва,мужчины,0,0,6085,3320,4745,6085,4745,24980
7,Какурин Эльдар,2,1983,Москва,мужчины,4745,0,0,0,3320,10000,4745,22810
8,Мысовский Сергей,КМС,1986,Санкт-Петербург,мужчины,5685,6085,4745,0,0,0,0,16515
9,Вечканов Игорь,,1986,Удмуртская Республика,мужчины,4745,3320,4745,3320,0,0,0,16130
10,Старков Андрей,3,1985,Москва,мужчины,0,0,0,4745,4745,4745,0,14235
