Rank,Name,Sport Rank,Birthday,Region,Category,2022,2023,2024,Total Points
1,Чудненко Анна,МС,1987,Санкт-Петербург,женщины,10000,10000,10000,30000
2,Тиманина Анжелика,1,1989,Москва,женщины,5685,6085,7800,19570
3,Тихонова Анна,КМС,1997,Калининградская область,женщины,4745,7800,6085,18630
4,Тимаревская Анастасия,3,1986,Московская область,женщины,6085,5685,5685,17455
5,Галимова Чулпан,КМС,1987,Республика Татарстан,женщины,7800,4745,4745,17290
6,Тихолаз Ульяна,1,1993,Санкт-Петербург,женщины,4745,4745,4745,14235
7,Матвеева Анна,КМС,1985,Калининградская область,женщины,0,4745,3320,8065
8,Рудик Майи,КМС,1984,Москва,женщины,0,4745,3320,8065
9,Пташко Ксения,2,1986,Краснодарский край,женщины,0,0,4745,4745
10,Кутьина Анна,3,1995,Севастополь,женщины,0,0,4745,4745
