Rank,Name,Sport Rank,Birth Year,Region,Category,2022,2023,2024,2025,Total Points
1,Чудненко Анна,МС,1987,Санкт-Петербург,женщины,20000,10000,10000,10000,50000
2,Тихонова Анна,МС,1997,Калининградская область,женщины,9128,7800,6084,6084,29096
3,Тимаревская Анастасия,1,1986,Московская область,женщины,11668,5584,5584,4014,26850
4,Тиманина Анжелика,1,1989,Москва,женщины,9598,6084,7800,0,23482
5,Тихолаз Ульяна,1,1993,Санкт-Петербург,женщины,8580,4564,4290,4564,21998
6,Галимова Чулпан,КМС,1987,Республика Татарстан,женщины,11776,4014,4564,0,20354
7,Матвеева Анна,КМС,1985,Калининградская область,женщины,6084,4564,2948,3150,16746
8,Болысова Елена,МС,1983,Москва,женщины,0,0,0,7800,7800
9,Второва Елена,КМС,1988,Москва,женщины,7800,0,0,0,7800
10,Пташко Ксения,1,1986,Краснодарский край,женщины,0,0,4014,2560,6574
11,Горанько Эвелина,2,2007,Камчатский край,женщины,0,0,3150,2948,6098
12,Рудик Майи,3,1984,Москва,женщины,0,4014,1920,0,5934
13,Романовская Ева,3,2007,Калининградская область,женщины,0,0,2880,3016,5896
14,Вяткина Анна,1,1997,Сахалинская область,женщины,0,0,0,5584,5584
15,Зубатова Ксения,2,1998,Краснодарский край,женщины,0,0,3016,2240,5256
16,Кузьмина Маргарита,2,1992,Краснодарский край,женщины,0,0,3084,1920,5004
17,Недзельницкая Дарина,3,2010,Сахалинская область,женщины,0,0,0,4290,4290
18,Болгова Алиса,3,2011,Калининградская область,женщины,0,0,0,3976,3976
19,Кутьина Анна,3,1995,Севастополь,женщины,0,0,3976,0,3976
20,Пыжова Алена,2,1988,Санкт-Петербург,женщины,0,0,2240,1600,3840
21,Жукова Алена,3,1991,Санкт-Петербург,женщины,0,0,0,3084,3084
22,Бланк Мария,1,1992,Калининградская область,женщины,0,0,0,2880,2880
23,Мавричева Дарья,3,2007,Камчатский край,женщины,0,0,2560,0,2560
24,Шабалина Людмила,3,1991,Санкт-Петербург,женщины,0,0,1600,0,1600
25,Терентьева Анастасия,2,1994,Санкт-Петербург,женщины,0,0,0,1580,1580
26,Любешкина Дарья,1,1986,Краснодарский край,женщины,0,0,1580,0,1580
