Rank,Name,Total Points
1,G. Medina,,0,,мужчины,42562,42562
2,I. Ferreira,,0,,мужчины,33744,33744
3,M. Cibilic,,0,,мужчины,24348,24348
4,C. Coffin,,0,,мужчины,23304,23304
5,F. Toledo,,0,,мужчины,22532,22532
6,J. Smith,,0,,мужчины,20046,20046
7,J. Robinson,,0,,мужчины,19662,19662
8,G. Colapinto,,0,,мужчины,19330,19330
9,J. Florence,,0,,мужчины,18726,18726
10,D. Silva,,0,,мужчины,17774,17774
11,K. Igarashi,,0,,мужчины,17276,17276
12,F. Morais,,0,,мужчины,17168,17168
13,Y. Dora,,0,,мужчины,16476,16476
14,L. Fioravanti,,0,,мужчины,15898,15898
15,R. Callinan,,0,,мужчины,14840,14840
16,J. Andre,,0,,мужчины,13184,13184
17,A. de,,0,,мужчины,12576,12576
18,M. McGillivray,,0,,мужчины,12198,12198
19,S. Moniz,,0,,мужчины,11948,11948
20,E. Ewing,,0,,мужчины,11948,11948
21,J. Wilson,,0,,мужчины,11886,11886
22,J. Flores,,0,,мужчины,11808,11808
23,M. Pupo,,0,,мужчины,11530,11530
24,C. Ibelli,,0,,мужчины,11482,11482
25,P. Crisanto,,0,,мужчины,10128,10128
26,W. Carmichael,,0,,мужчины,9972,9972
27,O. Wright,,0,,мужчины,9920,9920
28,M. Bourez,,0,,мужчины,9862,9862
29,C. O'Leary,,0,,мужчины,9076,9076
30,M. Wright,,0,,мужчины,8778,8778
31,K. Slater,,0,,мужчины,8600,8600
32,J. Freestone,,0,,мужчины,8240,8240
33,A. Ribeiro,,0,,мужчины,7560,7560
34,L. O'Brien,,0,,мужчины,6084,6084
35,M. Herdy,,0,,мужчины,6084,6084
36,A. Buchan,,0,,мужчины,4564,4564
37,R. Heazlewood,,0,,мужчины,3968,3968
38,K. Andino,,0,,мужчины,3740,3740
39,R. Waida,,0,,мужчины,3084,3084
40,J. Willcox,,0,,мужчины,2868,2868
41,J. Baker,,0,,мужчины,1500,1500
42,S. Kennedy,,0,,мужчины,1480,1480
43,C. Colapinto,,0,,мужчины,1480,1480
44,M. Fanning,,0,,мужчины,1440,1440
45,D. Moffat,,0,,мужчины,1308,1308
46,K. Walsh,,0,,мужчины,1110,1110
47,L. Mesinas,,0,,мужчины,1110,1110
48,J. Moniz,,0,,мужчины,1044,1044
49,S. Zietz,,0,,мужчины,978,978
50,M. Banting,,0,,мужчины,896,896
51,D. Cadena,,0,,мужчины,890,890
52,C. Cox,,0,,мужчины,890,890
53,T. Burrow,,0,,мужчины,884,884
54,M. Tudela,,0,,мужчины,884,884
55,J. Corzo,,0,,мужчины,884,884
