Rank,Name,Total Points
1,F. Toledo,,0,,мужчины,6980,6980
2,J. Robinson,,0,,мужчины,6610,6610
3,E. Ewing,,0,,мужчины,6100,6100
4,K. Igarashi,,0,,мужчины,5840,5840
5,G. Colapinto,,0,,мужчины,5820,5820
6,I. Ferreira,,0,,мужчины,5820,5820
7,M. Pupo,,0,,мужчины,5670,5670
8,C. Ibelli,,0,,мужчины,5390,5390
9,C. Robson,,0,,мужчины,5280,5280
10,S. Pupo,,0,,мужчины,5280,5280
11,C. O'Leary,,0,,мужчины,5250,5250
12,J. Smith,,0,,мужчины,5030,5030
13,M. McGillivray,,0,,мужчины,4990,4990
14,N. Young,,0,,мужчины,4710,4710
15,J. Marshall,,0,,мужчины,4610,4610
16,B. Mamiya,,0,,мужчины,4500,4500
17,J. Andre,,0,,мужчины,4430,4430
18,J. Baker,,0,,мужчины,4400,4400
19,K. Slater,,0,,мужчины,4330,4330
20,K. Andino,,0,,мужчины,4210,4210
21,J. Florence,,0,,мужчины,3710,3710
22,S. Moniz,,0,,мужчины,3310,3310
23,Y. Dora,,0,,мужчины,2970,2970
24,J. Chianca,,0,,мужчины,2500,2500
25,L. Mesinas,,0,,мужчины,2210,2210
26,E. Lau,,0,,мужчины,2210,2210
27,O. Wright,,0,,мужчины,2130,2130
28,C. Coffin,,0,,мужчины,2130,2130
29,F. Morais,,0,,мужчины,2100,2100
30,L. Fioravanti,,0,,мужчины,2100,2100
31,I. deVault,,0,,мужчины,2020,2020
32,D. Silva,,0,,мужчины,2020,2020
33,M. Cibilic,,0,,мужчины,2020,2020
34,G. Medina,,0,,мужчины,1860,1860
35,R. Callinan,,0,,мужчины,1600,1600
36,M. Tudela,,0,,мужчины,900,900
37,C. Munoz,,0,,мужчины,900,900
38,K. Vaast,,0,,мужчины,860,860
39,J. Lawler,,0,,мужчины,640,640
40,N. Hedge,,0,,мужчины,610,610
41,M. Herdy,,0,,мужчины,610,610
42,M. Rodrigues,,0,,мужчины,500,500
43,M. Fanning,,0,,мужчины,500,500
44,R. Waida,,0,,мужчины,500,500
45,M. Bourez,,0,,мужчины,400,400
46,J. Becret,,0,,мужчины,400,400
47,M. Wright,,0,,мужчины,400,400
48,I. Florence,,0,,мужчины,400,400
49,J. Burke,,0,,мужчины,400,400
50,B. Perez,,0,,мужчины,400,400
51,L. Thompson,,0,,мужчины,400,400
52,J. Faulkner,,0,,мужчины,400,400
53,B. Kemper,,0,,мужчины,400,400
54,V. Ribeiro,,0,,мужчины,320,320
55,A. Antunes,,0,,мужчины,320,320
56,J. Willcox,,0,,мужчины,320,320
57,B. Spence,,0,,мужчины,320,320
58,J. Thomas,,0,,мужчины,320,320
59,T. Wylie,,0,,мужчины,320,320
60,K. Lenny,,0,,мужчины,320,320
