Rank,Name,Total Points
1,I. Ferreira,,0,,мужчины,22725,22725
2,M. Pupo,,0,,мужчины,21385,21385
3,G. Medina,,0,,мужчины,20525,20525
4,Y. Dora,,0,,мужчины,19630,19630
5,G. Pittar,,0,,мужчины,17640,17640
6,E. Ewing,,0,,мужчины,16745,16745
7,S. Pupo,,0,,мужчины,16575,16575
8,G. Colapinto,,0,,мужчины,16490,16490
9,L. Fioravanti,,0,,мужчины,16130,16130
10,F. Toledo,,0,,мужчины,15150,15150
11,L. O'Brien,,0,,мужчины,13225,13225
12,C. O'Leary,,0,,мужчины,13120,13120
13,K. Igarashi,,0,,мужчины,12385,12385
14,J. Robinson,,0,,мужчины,10960,10960
15,M. Mignot,,0,,мужчины,10960,10960
16,M. Cibilic,,0,,мужчины,10800,10800
17,C. Colapinto,,0,,мужчины,10065,10065
18,R. Waida,,0,,мужчины,10065,10065
19,J. Marshall,,0,,мужчины,8640,8640
20,A. Muniz,,0,,мужчины,8640,8640
21,J. Vaughan,,0,,мужчины,7745,7745
22,C. Houshmand,,0,,мужчины,7745,7745
23,B. Mamiya,,0,,мужчины,7745,7745
24,K. Vaast,,0,,мужчины,7745,7745
25,M. Herdy,,0,,мужчины,7245,7245
26,J. Chianca,,0,,мужчины,6320,6320
27,J. Smith,,0,,мужчины,6320,6320
28,C. Robson,,0,,мужчины,5320,5320
29,E. Hanneman,,0,,мужчины,4000,4000
30,A. Cleland,,0,,мужчины,4000,4000
31,S. Moniz,,0,,мужчины,4000,4000
32,L. Thompson,,0,,мужчины,3500,3500
33,R. Boukhiam,,0,,мужчины,2500,2500
34,O. Berry,,0,,мужчины,2000,2000
35,J. Willcox,,0,,мужчины,1000,1000
36,J. Thomas,,0,,мужчины,1000,1000
37,D. Henry,,0,,мужчины,1000,1000
38,X. Huxtable,,0,,мужчины,1000,1000
39,T. Butland,,0,,мужчины,500,500
40,B. Stairmand,,0,,мужчины,500,500
41,R. Heazlewood,,0,,мужчины,500,500
42,W. Vincent,,0,,мужчины,500,500
