wildcard,rank,name,region,best_place,best_place_year,total_points,last_year
1,1,Авдеев Никита,Камчатский край,1,2024,3800,2024
2,5,Какурин Эльдар,Москва,1,2023,2016,2024
3,3,Волков Егор,Санкт-Петербург,1,2021,2600,2022
4,13,Яковлев Денис,Краснодарский край,2,2024,800,2024
5,2,Исаков Евгений,Калининградская область,2,2023,2642,2024
6,15,Багдасарян Максим,Калининградская область,3,2024,650,2024
7,4,Зылев Даниил,Москва,3,2023,2352,2024
8,6,Николаев Алексей,Московская область,3,2022,1900,2022
9,18,Новиков Илья,Камчатский край,4,2024,600,2024
10,7,Павликов Константин,Санкт-Петербург,4,2023,1898,2024
11,9,Расшиваев Сергей,Санкт-Петербург,4,2022,1690,2024
12,19,Феликиди Георгий,Московская область,4,2021,600,2021
