Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Исаков Евгений,МС,1981,Калининградская область,мужчины,2097,1595,3277,3994,6400,4868,5685,27916
2,Илясов Дмитрий,МС,1989,Санкт-Петербург,мужчины,0,2621,2556,5120,4992,0,10000,25289
3,Филинов Даниил,КМС,1985,Приморский край,мужчины,0,0,1555,2911,2125,8000,4745,19336
4,Вахрушев Владимир,2 разряд,1994,Санкт-Петербург,мужчины,0,0,1088,0,3037,4548,7800,16473
5,Новожилов Данила,2 разряд,1988,Санкт-Петербург,мужчины,1636,1244,1088,1700,3037,3796,1900,14401
6,Копров Павел,2 разряд,1990,Санкт-Петербург,мужчины,696,870,0,2429,2125,3796,3320,13236
7,Фомин Максим,3 разряд,1982,Московская область,мужчины,0,0,1994,0,3037,6240,0,11271
8,Каптелов Петр,1 разряд,1981,Калининградская область,мужчины,0,0,0,0,3894,3796,3320,11010
9,Ременников Константин,1 разряд,1984,Приморский край,мужчины,0,0,0,0,3037,2656,4745,10438
10,Крысенков Глеб,2 разряд,1990,Санкт-Петербург,мужчины,0,0,0,973,0,2656,6085,9714
