Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Тихонова Анна,КМС,1997,Калининградская область,женщины,2842,0,3559,0,7800,10000,10000,34201
2,Позняк Анна,1,1985,Москва,женщины,0,0,3559,10000,4745,6085,4745,29134
3,Матвеева Анна,КМС,1985,Калининградская область,женщины,3042,5000,0,0,5685,7800,5685,27212
4,Рудик Майи,КМС,1984,Москва,женщины,3900,0,4564,7800,0,3320,3320,22904
5,Второва Елена,КМС,1989,Москва,женщины,0,0,7500,0,10000,0,0,17500
6,Вяткина Анна,3,1997,Сахалинская область,женщины,0,0,0,0,0,4745,6085,10830
7,Степанец Мария,МС,1989,Санкт-Петербург,женщины,0,0,0,6085,0,0,4745,10830
8,Галимова Чулпан,1,1987,Татарстан,женщины,0,0,0,4745,6085,0,0,10830
9,Чимытова Кристина,3,1984,Камчатский край,женщины,0,0,0,5685,4745,0,0,10430
10,Куллен Оксана,3,1980,Сахалинская область,женщины,0,0,0,4745,4745,0,0,9490
11,Тихолаз Ульяна,2,1993,Санкт-Петербург,женщины,0,0,0,0,4745,3320,0,8065
12,Силютина Алина,3,1996,Приморский край,женщины,0,0,0,0,3320,4745,0,8065
13,Бланк Мария,2,1992,Калининградская область,женщины,0,0,0,0,0,0,7800,7800
14,Дыба Екатерина,3,1990,Камчатский край,женщины,0,0,0,3320,3320,0,0,6640
15,Пыжова Алена,3,1988,Санкт-Петербург,женщины,0,0,0,0,0,3320,3320,6640
16,Шевчук Елена,,1983,Москва,женщины,0,0,5850,0,0,0,0,5850
17,Кузнецова Галина,3,1984,Приморский край,женщины,0,0,0,0,0,5685,0,5685
18,Климова Мария,3,1989,Мурманская область,женщины,0,0,0,0,0,3320,1900,5220
19,Кузьмина Полина,3,1993,Санкт-Петербург,женщины,0,0,0,0,0,3320,1700,5020
20,Кособукина Ирина,,1987,Москва,женщины,5000,0,0,0,0,0,0,5000
21,Климова Наталья,3,2000,Калининградская область,женщины,0,0,0,0,0,4745,0,4745
22,Зикратова Ела,,1988,Камчатский край,женщины,0,0,0,4745,0,0,0,4745
23,Силивончик Анастасия,2,1994,Приморский край,женщины,0,0,0,0,0,0,4745,4745
24,Смирнова Вероника,3,1995,Санкт-Петербург,женщины,0,0,0,0,0,0,4745,4745
25,Архангельская Екатерина,3,1998,Москва,женщины,0,0,0,0,0,4745,0,4745
26,Туринцева Илона,,1995,Москва,женщины,0,0,0,4745,0,0,0,4745
27,Вострикова Екатерина,,1991,Москва,женщины,0,0,4264,0,0,0,0,4264
28,Тиманина Анжелика,,1989,Москва,женщины,0,3900,0,0,0,0,0,3900
29,Морозова Александра,3,1993,Санкт-Петербург,женщины,0,0,0,0,0,0,3320,3320
30,Ходырева Ольга,3,1986,Приморский край,женщины,0,0,0,0,3320,0,0,3320
31,Кутьина Анна,,1995,Москва,женщины,0,0,0,3320,0,0,0,3320
32,Кабаргина Кира,3,1987,Приморский край,женщины,0,0,0,0,0,0,3320,3320
33,Дударева Наталья,,1990,Алтайский край,женщины,0,0,0,3320,0,0,0,3320
34,Горанько Эвелина,2,2007,Камчатский край,женщины,0,0,0,0,0,0,3320,3320
35,Зикратова Ёла,3,1984,Камчатский край,женщины,0,0,0,0,3320,0,0,3320
36,Бороденкова Екатерина,3,1989,Калининградская область,женщины,0,0,0,0,0,3320,0,3320
37,Данькова Елизавета,3,2000,Калининградская область,женщины,0,0,0,0,0,0,3320,3320
38,Шабалина Людмила,3,1991,Санкт-Петербург,женщины,0,0,0,0,0,0,3320,3320
39,Александровская Анна,3,1994,Мурманская область,женщины,0,0,0,0,0,0,3320,3320
40,Хабкина?,,1985,Московская область,женщины,0,3042,0,0,0,0,0,3042
41,Дудова Татьяна,,1988,Московская область,женщины,0,2842,0,0,0,0,0,2842
42,Ковалева Анастасия,2,1983,Приморский край,женщины,0,0,0,0,0,0,1900,1900
43,Ясинская Анна,3,1990,Приморский край,женщины,0,0,0,0,0,0,1900,1900
44,Герасимова Екатерина,3,1986,Калининградская область,женщины,0,0,0,0,0,0,1900,1900
45,Горба Мария,3,1990,Санкт-Петербург,женщины,0,0,0,0,0,0,1900,1900
46,Филинова Галина,2,1984,Приморский край,женщины,0,0,0,0,0,0,1900,1900
47,Якубовская Нина,3,1989,Приморский край,женщины,0,0,0,0,0,0,1900,1900
48,Коровина Виктория,3,1987,Приморский край,женщины,0,0,0,0,0,0,1900,1900
49,Петрова Анна,3,1982,Приморский край,женщины,0,0,0,0,0,0,1700,1700
