Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Авдеев Никита,МС,2000,Камчатский край,мужчины,0,2621,3277,3994,6400,0,10000,26292
2,Исаков Евгений,МС,1983,Калининградская область,мужчины,1636,1244,0,1700,3894,6240,3320,18034
3,Зылев Даниил,2,1982,Москва,мужчины,0,0,1994,1700,3037,4868,4745,16344
4,Какурин Эльдар,2,1983,Москва,мужчины,995,0,0,0,2125,8000,4745,15865
5,Павликов Константин,1,1984,Санкт-Петербург,мужчины,995,0,1088,1700,2125,4548,4745,15201
6,Волков Егор,КМС,2000,Санкт-Петербург,мужчины,0,1490,2556,5120,4992,0,0,14158
7,Расшиваев Сергей,3,1984,Санкт-Петербург,мужчины,2097,2045,1863,1700,3037,0,3320,14062
8,Суворов Алексей,2,1986,Приморский край,мужчины,0,0,0,973,1216,3796,3320,9305
9,Старков Андрей,3,1985,Москва,мужчины,0,0,0,2429,3037,3796,0,9262
10,Яковлев Денис,2,1979,Краснодарский край,мужчины,0,0,0,0,0,0,7800,7800
