Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Чудненко Анна,МС,1987,Санкт-Петербург,женщины,957,1534,1638,3994,4800,6000,10000,28923
2,Тиманина Анжелика,1,1989,Москва,женщины,894,933,0,3116,2729,3651,7800,19123
3,Тимаревская Анастасия,3,1986,Московская область,женщины,0,0,931,2429,2921,3411,5685,15377
4,Галимова Чулпан,КМС,1987,Республика Татарстан,женщины,0,0,0,2911,3744,2847,4745,14247
5,Тихонова Анна,КМС,1997,Калининградская область,женщины,0,0,0,0,2278,4680,6085,13043
6,Тихолаз Ульяна,1,1993,Санкт-Петербург,женщины,0,0,0,2429,2278,2847,4745,12299
7,Рудик Майи,КМС,1984,Москва,женщины,0,0,0,2429,0,2847,3320,8596
8,Матвеева Анна,КМС,1985,Калининградская область,женщины,0,0,0,0,0,2847,3320,6167
9,Большова Елена,КМС,1983,Москва,женщины,0,0,0,5120,0,0,0,5120
10,Пташко Ксения,2,1986,Краснодарский край,женщины,0,0,0,0,0,0,4745,4745
11,Кутьина Анна,3,1995,Севастополь,женщины,0,0,0,0,0,0,4745,4745
12,Горанько Эвелина,3,2007,Камчатский край,женщины,0,0,0,0,0,0,3320,3320
13,Кузьмина Маргарита,2,1992,Краснодарский край,женщины,0,0,0,0,0,0,3320,3320
14,Зубатова Ксения,2,1998,Краснодарский край,женщины,0,0,0,0,0,0,3320,3320
15,Романовская Ева,3,2007,Калининградская область,женщины,0,0,0,0,0,0,3320,3320
16,Мавричева Дарья,3,2007,Камчатский край,женщины,0,0,0,0,0,0,3320,3320
17,Пыжова Алена,3,1988,Санкт-Петербург,женщины,0,0,0,0,0,0,3320,3320
18,Кособукина Ирина,,1987,Москва,женщины,1573,1118,0,0,0,0,0,2691
19,Чимытова Кристина,,1984,Камчатский край,женщины,0,0,0,2429,0,0,0,2429
20,Ким Ольга,,1988,Санкт-Петербург,женщины,1227,933,0,0,0,0,0,2160
21,Мализия Полина,,2000,Москва,женщины,0,1966,0,0,0,0,0,1966
22,Шабалина Людмила,3,1991,Санкт-Петербург,женщины,0,0,0,0,0,0,1900,1900
23,Любешкина Дарья,2,1986,Краснодарский край,женщины,0,0,0,0,0,0,1900,1900
24,Шеина Ольга,КМС,1987,Москва,женщины,0,0,0,1700,0,0,0,1700
25,Рудик Майя,,1984,Московская область,женщины,746,933,0,0,0,0,0,1679
26,Больсова Елена,,1983,Москва,женщины,0,0,1278,0,0,0,0,1278
27,Боярова Полина,,1985,Москва,женщины,0,1196,0,0,0,0,0,1196
28,Шемна Ольга,,1987,Москва,женщины,0,0,997,0,0,0,0,997
29,Юсова Анна,,1985,Калининградская область,женщины,0,933,0,0,0,0,0,933
30,Мысовская Дина,,1984,Санкт-Петербург,женщины,894,0,0,0,0,0,0,894
31,Максимова Елизавета,,1988,Москва,женщины,0,0,777,0,0,0,0,777
32,Нарышкина Вероника,,1988,Москва,женщины,746,0,0,0,0,0,0,746
33,Бланк Мария,2,1992,Калининградская область,женщины,0,0,0,0,0,0,0,0
