Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Авдеев Никита,МС,2000,Камчатский край,мужчины,0,531,590,656,810,0,1000,3587
2,Исаков Евгений,МС,1983,Калининградская область,мужчины,430,266,0,219,648,810,300,2673
3,Волков Егор,КМС,2000,Санкт-Петербург,мужчины,0,372,531,729,729,0,0,2361
4,Зылев Даниил,2 разряд,1982,Москва,мужчины,0,0,472,219,405,720,500,2316
5,Расшиваев Сергей,3 разряд,1984,Санкт-Петербург,мужчины,478,478,413,219,405,0,300,2293
6,Павликов Константин,1 разряд,1984,Санкт-Петербург,мужчины,239,0,177,219,243,630,500,2008
7,Какурин Эльдар,2 разряд,1983,Москва,мужчины,239,0,0,0,243,900,500,1882
8,Старков Андрей,3 разряд,1985,Москва,мужчины,0,0,0,365,405,450,0,1220
9,Николаев Алексей,2 разряд,1988,Московская область,мужчины,0,0,0,583,567,0,0,1150
10,Мысовский Сергей,КМС,1986,Санкт-Петербург,мужчины,335,425,295,0,0,0,0,1055
11,Вечканов Игорь,,1986,Удмуртская Республика,мужчины,239,159,295,219,0,0,0,912
12,Суворов Алексей,2 разряд,1986,Приморский край,мужчины,0,0,0,73,81,450,300,904
13,Яковлев Денис,2 разряд,1979,Краснодарский край,мужчины,0,0,0,0,0,0,900,900
14,Феликиди Георгий,,1983,Московская область,мужчины,383,0,0,510,0,0,0,893
15,Багдасарян Максим,2 разряд,2008,Калининградская область,мужчины,0,0,0,0,0,0,800,800
16,Порицкий Сергей,3 разряд,1990,Санкт-Петербург,мужчины,0,0,0,0,0,450,300,750
17,Морозов Антон,2 разряд,1982,Камчатский край,мужчины,0,0,0,219,243,270,0,732
18,Новиков Илья,3 разряд,2009,Камчатский край,мужчины,0,0,0,0,0,0,700,700
19,Догадов Денис,2 разряд,1984,Краснодарский край,мужчины,0,159,177,0,0,0,300,636
20,Иванов Никита,,1986,Санкт-Петербург,мужчины,143,266,177,0,0,0,0,586
21,Теук Константин,,1985,Санкт-Петербург,мужчины,239,159,177,0,0,0,0,575
22,Петров Владимир,,1990,Санкт-Петербург,мужчины,0,266,295,0,0,0,0,561
23,Чумаков Андрей,3 разряд,1997,Краснодарский край,мужчины,0,0,0,0,0,0,500,500
24,Филинов Даниил,1 разряд,1985,Приморский край,мужчины,0,53,0,0,405,0,0,458
25,Синица Петр,1 разряд,1995,Калининградская область,мужчины,0,0,0,0,0,450,0,450
26,Чемодуров Юрий,3 разряд,1990,Сахалинская область,мужчины,0,0,0,73,0,270,100,443
27,Марченко Иван,3 разряд,1984,Приморский край,мужчины,0,0,0,73,81,270,0,424
28,Илясов Дмитрий,КМС,1989,Санкт-Петербург,мужчины,143,0,0,0,243,0,0,386
29,Матвеев Арсений,,1997,Москва,мужчины,0,0,0,365,0,0,0,365
30,Давыдов Артем,,1980,Москва,мужчины,0,0,0,365,0,0,0,365
31,Любошкин Виктор,,1990,Москва,мужчины,0,0,0,365,0,0,0,365
32,Богданов Даниил,3 разряд,2001,Калининградская область,мужчины,0,0,0,0,81,270,0,351
33,Ременников Константин,1 разряд,1984,Приморский край,мужчины,0,0,0,0,243,90,0,333
34,Рогинский Константин,,1995,Республика Крым,мужчины,143,159,0,0,0,0,0,302
35,Забула Дмитрий,3 разряд,1982,Санкт-Петербург,мужчины,0,0,0,0,0,0,300,300
36,Крылов Тимофей,2 разряд,2001,Краснодарский край,мужчины,0,0,0,0,0,0,300,300
37,Скуридин Дмитрий,3 разряд,1986,Севастополь,мужчины,0,0,0,0,0,0,300,300
38,Ишмухаметов Булат,,1985,Москва,мужчины,0,0,295,0,0,0,0,295
39,Каптелов Петр,1 разряд,1990,Калининградская область,мужчины,0,0,0,0,0,270,0,270
40,Барсуков Сергей,2 разряд,2005,Приморский край,мужчины,0,0,0,0,0,270,0,270
41,Рада Николай,3 разряд,1985,Сахалинская область,мужчины,0,0,0,0,0,270,0,270
42,Попсуев Сергей,3 разряд,1989,Сахалинская область,мужчины,0,0,0,0,0,270,0,270
43,Коротких Владимир,,2002,Липецк,мужчины,0,266,0,0,0,0,0,266
44,Мустафин Андрей,,1987,Красноярский край,мужчины,0,0,177,73,0,0,0,250
45,Федосеенко Александр,2 разряд,1992,Приморский край,мужчины,0,0,0,0,243,0,0,243
46,Чугаров Юрий,3 разряд,1985,Санкт-Петербург,мужчины,0,0,0,0,243,0,0,243
47,Синцов Никита,3 разряд,1992,Москва,мужчины,0,0,0,0,243,0,0,243
48,Волосков Михаил,,1985,Кировская область,мужчины,0,0,0,219,0,0,0,219
49,Гуров Максим,,1985,Камчатский край,мужчины,0,0,0,219,0,0,0,219
50,Устинов Виктор,3 разряд,1982,Республика Татарстан,мужчины,0,0,0,0,0,90,100,190
51,Шуев Николай,,1988,Чебоксары,мужчины,0,0,177,0,0,0,0,177
52,Мосин Андрей,,1990,Москва,мужчины,0,0,177,0,0,0,0,177
53,Демин Феликс,,1991,Москва,мужчины,0,0,177,0,0,0,0,177
54,Бобровский Антон,3 разряд,1987,Санкт-Петербург,мужчины,0,0,0,0,81,90,0,171
55,Невский Дмитрий,,1990,Москва,мужчины,0,159,0,0,0,0,0,159
56,Смелов Илья,,1986,Калининградская область,мужчины,0,159,0,0,0,0,0,159
57,Ржанников Роман,,1986,Санкт-Петербург,мужчины,0,159,0,0,0,0,0,159
58,Белоусов Борис,,1989,Москва,мужчины,0,159,0,0,0,0,0,159
59,Ильин Александр,3 разряд,1982,Краснодарский край,мужчины,0,0,59,0,0,0,100,159
60,Ковалевский Василий,3 разряд,1989,Камчатский край,мужчины,0,0,0,73,81,0,0,154
61,Титов Сергей,,1987,Санкт-Петербург,мужчины,143,0,0,0,0,0,0,143
62,Можаев,,1986,Пермь,мужчины,143,0,0,0,0,0,0,143
63,Камышников Александр,,1982,Тула,мужчины,143,0,0,0,0,0,0,143
64,Нужный Антон,,1986,Сочи,мужчины,143,0,0,0,0,0,0,143
65,Чепленко Юрий,,1984,Крым,мужчины,143,0,0,0,0,0,0,143
66,Автансев Никита,2 разряд,1995,Московская область,мужчины,0,0,0,0,0,0,100,100
67,Черепенников Антон,2 разряд,1987,Краснодарский край,мужчины,0,0,0,0,0,0,100,100
68,Булгаков Игорь,3 разряд,1991,Калининградская область,мужчины,0,0,0,0,0,0,100,100
69,Василенко Денис,2 разряд,1983,Краснодарский край,мужчины,0,0,0,0,0,0,100,100
70,Сивый Алексей,3 разряд,1985,Севастополь,мужчины,0,0,0,0,0,0,100,100
71,Блискунов Дмитрий,3 разряд,1995,Калининградская область,мужчины,0,0,0,0,0,0,100,100
72,Носов Антон,1 разряд,1991,Республика Татарстан,мужчины,0,0,0,0,0,0,100,100
73,Михеев Павел,3 разряд,1985,Краснодарский край,мужчины,0,0,0,0,0,0,100,100
74,Пачесов Павел,3 разряд,1986,Сахалинская область,мужчины,0,0,0,0,0,90,0,90
75,Шушаков Роман,2 разряд,1995,Калининградская область,мужчины,0,0,0,0,0,90,0,90
76,Корытко Константин,3 разряд,1988,Сахалинская область,мужчины,0,0,0,0,0,90,0,90
77,Эгле Вячеслав,3 разряд,1994,Сахалинская область,мужчины,0,0,0,0,0,90,0,90
78,Цветков Михаил,3 разряд,1987,Сахалинская область,мужчины,0,0,0,0,0,90,0,90
