Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Тихонова Анна,КМС,1997,Калининградская область,женщины,2842,0,3559,0,7800,10000,10000,34201
2,Позняк Анна,1,1985,Москва,женщины,0,0,3559,10000,4745,6085,4745,29134
3,Матвеева Анна,КМС,1985,Калининградская область,женщины,3042,5000,0,0,5685,7800,5685,27212
4,Рудик Майи,КМС,1984,Москва,женщины,3900,0,4564,7800,0,3320,3320,22904
5,Второва Елена,КМС,1989,Москва,женщины,0,0,7500,0,10000,0,0,17500
6,Вяткина Анна,3,1997,Сахалинская область,женщины,0,0,0,0,0,4745,6085,10830
7,Степанец Мария,МС,1989,Санкт-Петербург,женщины,0,0,0,6085,0,0,4745,10830
8,Галимова Чулпан,1,1987,Татарстан,женщины,0,0,0,4745,6085,0,0,10830
9,Чимытова Кристина,3,1984,Камчатский край,женщины,0,0,0,5685,4745,0,0,10430
10,Куллен Оксана,3,1980,Сахалинская область,женщины,0,0,0,4745,4745,0,0,9490
