Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Исаков Евгений,МС,1981,Калининградская область,мужчины,478,425,590,656,810,720,700,4379
2,Илясов Дмитрий,МС,1989,Санкт-Петербург,мужчины,0,531,531,729,729,0,1000,3520
3,Филинов Даниил,КМС,1985,Приморский край,мужчины,0,0,295,510,243,900,500,2448
4,Вахрушев Владимир,2 разряд,1994,Санкт-Петербург,мужчины,0,0,177,0,405,630,900,2112
5,Новожилов Данила,2 разряд,1988,Санкт-Петербург,мужчины,430,266,177,219,405,450,100,2047
6,Фомин Максим,3 разряд,1982,Московская область,мужчины,0,0,472,0,405,810,0,1687
7,Копров Павел,2 разряд,1990,Санкт-Петербург,мужчины,143,159,0,365,243,450,300,1660
8,Каптелов Петр,1 разряд,1981,Калининградская область,мужчины,0,0,0,0,648,450,300,1398
9,Ременников Константин,1 разряд,1984,Приморский край,мужчины,0,0,0,0,405,270,500,1175
10,Трофимов Владимир,1 разряд,1985,Санкт-Петербург,мужчины,0,266,295,365,243,0,0,1169
11,Крысенков Глеб,2 разряд,1990,Санкт-Петербург,мужчины,0,0,0,73,0,270,800,1143
12,Феликиди Георгий,,1983,Московская область,мужчины,0,478,0,365,0,0,0,843
13,Мысовский Сергей,,1986,Санкт-Петербург,мужчины,383,372,0,0,0,0,0,755
14,Гальчук Александр,3 разряд,1987,Приморский край,мужчины,0,0,0,219,0,0,500,719
15,Тихонов Андрей,3 разряд,1981,Калининградская область,мужчины,0,0,0,0,243,450,0,693
16,Расшиваев Сергей,КМС,1984,Санкт-Петербург,мужчины,0,159,295,219,0,0,0,673
17,Титов Сергей,2 разряд,1987,Санкт-Петербург,мужчины,335,159,177,0,0,0,0,671
18,Старков Андрей,КМС,1985,Москва,мужчины,0,0,413,0,243,0,0,656
19,Тимухин Максим,,1991,Санкт-Петербург,мужчины,0,0,0,583,0,0,0,583
20,Синица Петр,1 разряд,1985,Калининградская область,мужчины,0,0,0,0,0,270,300,570
21,Барсуков Сергей,2 разряд,2005,Приморский край,мужчины,0,0,0,0,0,270,300,570
22,Шушаков Роман,2 разряд,1995,Калининградская область,мужчины,0,0,0,0,0,270,300,570
23,Синцов Никита,3 разряд,1992,Москва,мужчины,0,0,0,0,567,0,0,567
24,Саркисов Станислав,3 разряд,1983,Московская область,мужчины,0,266,177,0,81,0,0,524
25,Багдасарян Максим,2 разряд,2008,Калининградская область,мужчины,0,0,0,0,0,0,500,500
26,Морозов Антон,3 разряд,1982,Камчатский край,мужчины,0,0,0,219,243,0,0,462
27,Павликов Константин,,1984,Санкт-Петербург,мужчины,143,266,0,0,0,0,0,409
28,Мустафин Андрей,,1987,Красноярский край,мужчины,0,0,177,219,0,0,0,396
29,Белоусов Борис,,1989,Москва,мужчины,0,0,0,365,0,0,0,365
30,Богданов Даниил,3 разряд,2001,Калининградская область,мужчины,0,0,0,0,81,270,0,351
31,Иванов Никита,,1986,Санкт-Петербург,мужчины,143,159,0,0,0,0,0,302
32,Кравченко Алексей,3 разряд,1984,Санкт-Петербург,мужчины,0,0,0,0,0,0,300,300
33,Левицкий Дионис,3 разряд,1991,Приморский край,мужчины,0,0,0,0,0,0,300,300
34,Блискунов Дмитрий,3 разряд,1990,Калининградская область,мужчины,0,0,0,0,0,0,300,300
35,Федосеенко Александр,2 разряд,1992,Приморский край,мужчины,0,0,0,219,81,0,0,300
36,Молотков Ростислав,,1992,Еврейская автономная область,мужчины,0,0,295,0,0,0,0,295
37,Михайлов Алексей,3 разряд,1997,Калининградская область,мужчины,0,0,0,0,0,270,0,270
38,Кортелев Федор,2 разряд,1992,Калининградская область,мужчины,0,0,0,0,0,270,0,270
39,Костин Евгений,3 разряд,1990,Приморский край,мужчины,0,0,0,0,243,0,0,243
40,Лещев Алексей,3 разряд,1991,Камчатский край,мужчины,0,0,0,0,243,0,0,243
41,Блохин Иван,,1987,Калининград,мужчины,239,0,0,0,0,0,0,239
42,Глазырин Игорь,,1990,Челябинская область,мужчины,239,0,0,0,0,0,0,239
43,Федюнькин Юрий,,1990,Калининград,мужчины,239,0,0,0,0,0,0,239
44,Шуев Николай,,1988,Чебоксары,мужчины,239,0,0,0,0,0,0,239
45,Коденко Роман,,1992,Приморский край,мужчины,0,0,0,219,0,0,0,219
46,Эгле Вячеслав,,1994,Сахалинская область,мужчины,0,0,0,219,0,0,0,219
47,Литвинов Леонид,2 разряд,1963,Санкт-Петербург,мужчины,0,159,59,0,0,0,0,218
48,Перерва Вадим,,1989,Калининградская область,мужчины,0,0,177,0,0,0,0,177
49,Гречишкин Алексей,,1985,Москва,мужчины,0,0,177,0,0,0,0,177
50,Пилецкий Илья,,1983,Калининградская область,мужчины,0,0,177,0,0,0,0,177
51,Тюкавин Максим,,1981,Калининград,мужчины,0,159,0,0,0,0,0,159
52,Марченко Иван,3 разряд,1984,Приморский край,мужчины,0,0,0,73,81,0,0,154
53,Волобуев Леонид,,1988,Санкт-Петербург,мужчины,143,0,0,0,0,0,0,143
54,Анисимов,,1984,Москва,мужчины,143,0,0,0,0,0,0,143
55,Какурин Эльдар,,1983,Москва,мужчины,143,0,0,0,0,0,0,143
56,Чередниченко Андрей,2 разряд,1982,Приморский край,мужчины,0,0,0,0,0,0,100,100
57,Жарченко Владислав,2 разряд,1991,Приморский край,мужчины,0,0,0,0,0,0,100,100
58,Дроздов Дмитрий,3 разряд,1998,Приморский край,мужчины,0,0,0,0,0,0,100,100
59,Смирнов Михаил,3 разряд,1982,Санкт-Петербург,мужчины,0,0,0,0,0,0,100,100
60,Ломаев Владимир,3 разряд,1993,Санкт-Петербург,мужчины,0,0,0,0,0,0,100,100
61,Артюхин Марк,3 разряд,2007,Камчатский край,мужчины,0,0,0,0,0,0,100,100
62,Ткачук Дмитрий,3 разряд,1986,Мурманская область,мужчины,0,0,0,0,0,0,100,100
63,Зылев Даниил,3 разряд,1982,Москва,мужчины,0,0,0,0,0,90,0,90
64,Болдырев Артем,3 разряд,1981,Калининградская область,мужчины,0,0,0,0,0,90,0,90
65,Реут Алексей,3 разряд,1989,Калининградская область,мужчины,0,0,0,0,0,90,0,90
66,Шеин Николай,3 разряд,1986,Приморский край,мужчины,0,0,0,0,81,0,0,81
67,Степаненко Клим,,1994,Приморский край,мужчины,0,0,0,73,0,0,0,73
68,Коваленко Николай,,1983,Свердловская область,мужчины,0,0,0,73,0,0,0,73
69,Алявин Алексей,,1987,Приморский край,мужчины,0,0,0,73,0,0,0,73
