Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Тихонова Анна,КМС,1997,Калининградская область,женщины,335,0,295,0,729,900,1000,3259
2,Матвеева Анна,КМС,1985,Калининградская область,женщины,383,531,0,0,567,810,700,2991
3,Позняк Анна,1 разряд,1985,Москва,женщины,0,0,295,729,405,720,500,2649
4,Рудик Майи,КМС,1984,Москва,женщины,430,0,472,656,0,270,300,2128
5,Второва Елена,КМС,1989,Москва,женщины,0,0,590,0,810,0,0,1400
6,Вяткина Анна,3 разряд,1997,Сахалинская область,женщины,0,0,0,0,0,450,800,1250
7,Степанец Мария,МС,1989,Санкт-Петербург,женщины,0,0,0,583,0,0,500,1083
8,Галимова Чулпан,1 разряд,1987,Татарстан,женщины,0,0,0,365,648,0,0,1013
9,Чимытова Кристина,3 разряд,1984,Камчатский край,женщины,0,0,0,510,405,0,0,915
10,Бланк Мария,2 разряд,1992,Калининградская область,женщины,0,0,0,0,0,0,900,900
11,Куллен Оксана,3 разряд,1980,Сахалинская область,женщины,0,0,0,365,405,0,0,770
12,Силютина Алина,3 разряд,1996,Приморский край,женщины,0,0,0,0,243,450,0,693
13,Тихолаз Ульяна,2 разряд,1993,Санкт-Петербург,женщины,0,0,0,0,405,270,0,675
14,Кузнецова Галина,3 разряд,1984,Приморский край,женщины,0,0,0,0,0,630,0,630
15,Пыжова Алена,3 разряд,1988,Санкт-Петербург,женщины,0,0,0,0,0,270,300,570
16,Шевчук Елена,,1983,Москва,женщины,0,0,531,0,0,0,0,531
17,Силивончик Анастасия,2 разряд,1994,Приморский край,женщины,0,0,0,0,0,0,500,500
18,Смирнова Вероника,3 разряд,1995,Санкт-Петербург,женщины,0,0,0,0,0,0,500,500
19,Кособукина Ирина,,1987,Москва,женщины,478,0,0,0,0,0,0,478
20,Тиманина Анжелика,,1989,Москва,женщины,0,478,0,0,0,0,0,478
21,Дыба Екатерина,3 разряд,1990,Камчатский край,женщины,0,0,0,219,243,0,0,462
22,Климова Наталья,3 разряд,2000,Калининградская область,женщины,0,0,0,0,0,450,0,450
23,Архангельская Екатерина,3 разряд,1998,Москва,женщины,0,0,0,0,0,450,0,450
24,Хабкина?,,1985,Московская область,женщины,0,425,0,0,0,0,0,425
25,Вострикова Екатерина,,1991,Москва,женщины,0,0,413,0,0,0,0,413
26,Дудова Татьяна,,1988,Московская область,женщины,0,372,0,0,0,0,0,372
27,Климова Мария,3 разряд,1989,Мурманская область,женщины,0,0,0,0,0,270,100,370
28,Кузьмина Полина,3 разряд,1993,Санкт-Петербург,женщины,0,0,0,0,0,270,100,370
29,Зикратова Ела,,1988,Камчатский край,женщины,0,0,0,365,0,0,0,365
30,Туринцева Илона,,1995,Москва,женщины,0,0,0,365,0,0,0,365
31,Морозова Александра,3 разряд,1993,Санкт-Петербург,женщины,0,0,0,0,0,0,300,300
32,Кабаргина Кира,3 разряд,1987,Приморский край,женщины,0,0,0,0,0,0,300,300
33,Горанько Эвелина,2 разряд,2007,Камчатский край,женщины,0,0,0,0,0,0,300,300
34,Данькова Елизавета,3 разряд,2000,Калининградская область,женщины,0,0,0,0,0,0,300,300
35,Шабалина Людмила,3 разряд,1991,Санкт-Петербург,женщины,0,0,0,0,0,0,300,300
36,Александровская Анна,3 разряд,1994,Мурманская область,женщины,0,0,0,0,0,0,300,300
37,Бороденкова Екатерина,3 разряд,1989,Калининградская область,женщины,0,0,0,0,0,270,0,270
38,Ходырева Ольга,3 разряд,1986,Приморский край,женщины,0,0,0,0,243,0,0,243
39,Зикратова Ёла,3 разряд,1984,Камчатский край,женщины,0,0,0,0,243,0,0,243
40,Кутьина Анна,,1995,Москва,женщины,0,0,0,219,0,0,0,219
41,Дударева Наталья,,1990,Алтайский край,женщины,0,0,0,219,0,0,0,219
42,Ковалева Анастасия,2 разряд,1983,Приморский край,женщины,0,0,0,0,0,0,100,100
43,Ясинская Анна,3 разряд,1990,Приморский край,женщины,0,0,0,0,0,0,100,100
44,Герасимова Екатерина,3 разряд,1986,Калининградская область,женщины,0,0,0,0,0,0,100,100
45,Горба Мария,3 разряд,1990,Санкт-Петербург,женщины,0,0,0,0,0,0,100,100
46,Филинова Галина,2 разряд,1984,Приморский край,женщины,0,0,0,0,0,0,100,100
47,Якубовская Нина,3 разряд,1989,Приморский край,женщины,0,0,0,0,0,0,100,100
48,Коровина Виктория,3 разряд,1987,Приморский край,женщины,0,0,0,0,0,0,100,100
49,Петрова Анна,3 разряд,1982,Приморский край,женщины,0,0,0,0,0,0,100,100
