Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Чудненко Анна,МС,1987,Санкт-Петербург,женщины,957,1534,1638,3994,4800,6000,10000,28923
2,Тиманина Анжелика,1 разряд,1989,Москва,женщины,894,933,0,3116,2729,3651,7800,19123
3,Тимаревская Анастасия,3 разряд,1986,Московская область,женщины,0,0,931,2429,2921,3411,5685,15377
4,Галимова Чулпан,КМС,1987,Республика Татарстан,женщины,0,0,0,2911,3744,2847,4745,14247
5,Тихонова Анна,КМС,1997,Калининградская область,женщины,0,0,0,0,2278,4680,6085,13043
6,Тихолаз Ульяна,1 разряд,1993,Санкт-Петербург,женщины,0,0,0,2429,2278,2847,4745,12299
7,Рудик Майи,КМС,1984,Москва,женщины,0,0,0,2429,0,2847,3320,8596
8,Матвеева Анна,КМС,1985,Калининградская область,женщины,0,0,0,0,0,2847,3320,6167
9,Большова Елена,КМС,1983,Москва,женщины,0,0,0,5120,0,0,0,5120
10,Пташко Ксения,2 разряд,1986,Краснодарский край,женщины,0,0,0,0,0,0,4745,4745
