Rank,Name,Sport Rank,Birthday,Region,Category,2017,2018,2019,2021,2022,2023,2024,Total Points
1,Чудненко Анна,МС,1987,Санкт-Петербург,женщины,383,478,590,656,810,900,1000,4817
2,Тиманина Анжелика,1 разряд,1989,Москва,женщины,335,266,0,583,567,720,900,3371
3,Тимаревская Анастасия,3 разряд,1986,Московская область,женщины,0,0,413,365,648,630,700,2756
4,Галимова Чулпан,КМС,1987,Республика Татарстан,женщины,0,0,0,510,729,450,500,2189
5,Тихонова Анна,КМС,1997,Калининградская область,женщины,0,0,0,0,405,810,800,2015
6,Тихолаз Ульяна,1 разряд,1993,Санкт-Петербург,женщины,0,0,0,365,405,450,500,1720
7,Рудик Майи,КМС,1984,Москва,женщины,0,0,0,365,0,450,300,1115
8,Кособукина Ирина,,1987,Москва,женщины,478,372,0,0,0,0,0,850
9,Матвеева Анна,КМС,1985,Калининградская область,женщины,0,0,0,0,0,450,300,750
10,Большова Елена,КМС,1983,Москва,женщины,0,0,0,729,0,0,0,729
11,Ким Ольга,,1988,Санкт-Петербург,женщины,430,266,0,0,0,0,0,696
12,Мализия Полина,,2000,Москва,женщины,0,531,0,0,0,0,0,531
13,Больсова Елена,,1983,Москва,женщины,0,0,531,0,0,0,0,531
14,Рудик Майя,,1984,Московская область,женщины,239,266,0,0,0,0,0,505
15,Пташко Ксения,2 разряд,1986,Краснодарский край,женщины,0,0,0,0,0,0,500,500
16,Кутьина Анна,3 разряд,1995,Севастополь,женщины,0,0,0,0,0,0,500,500
17,Шемна Ольга,,1987,Москва,женщины,0,0,472,0,0,0,0,472
18,Боярова Полина,,1985,Москва,женщины,0,425,0,0,0,0,0,425
19,Чимытова Кристина,,1984,Камчатский край,женщины,0,0,0,365,0,0,0,365
20,Мысовская Дина,,1984,Санкт-Петербург,женщины,335,0,0,0,0,0,0,335
21,Горанько Эвелина,3 разряд,2007,Камчатский край,женщины,0,0,0,0,0,0,300,300
22,Кузьмина Маргарита,2 разряд,1992,Краснодарский край,женщины,0,0,0,0,0,0,300,300
23,Зубатова Ксения,2 разряд,1998,Краснодарский край,женщины,0,0,0,0,0,0,300,300
24,Романовская Ева,3 разряд,2007,Калининградская область,женщины,0,0,0,0,0,0,300,300
25,Мавричева Дарья,3 разряд,2007,Камчатский край,женщины,0,0,0,0,0,0,300,300
26,Пыжова Алена,3 разряд,1988,Санкт-Петербург,женщины,0,0,0,0,0,0,300,300
27,Максимова Елизавета,,1988,Москва,женщины,0,0,295,0,0,0,0,295
28,Юсова Анна,,1985,Калининградская область,женщины,0,266,0,0,0,0,0,266
29,Нарышкина Вероника,,1988,Москва,женщины,239,0,0,0,0,0,0,239
30,Шеина Ольга,КМС,1987,Москва,женщины,0,0,0,219,0,0,0,219
31,Шабалина Людмила,3 разряд,1991,Санкт-Петербург,женщины,0,0,0,0,0,0,100,100
32,Любешкина Дарья,2 разряд,1986,Краснодарский край,женщины,0,0,0,0,0,0,100,100
33,Бланк Мария,2 разряд,1992,Калининградская область,женщины,0,0,0,0,0,0,0,0
