Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|J. Smith|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|J. Marshall|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|J. Baker|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|K. Slater|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|S. Pupo|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|I. deVault|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|S. Moniz|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|L. Mesinas|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|O. Wright|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|3|I. Ferreira|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|J. Andre|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|V. Ribeiro|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|2|F. Toledo|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|C. O'Leary|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|J. Becret|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|K. Igarashi|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|C. Robson|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|A. Antunes|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|C. Coffin|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|F. Morais|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|C. Ibelli|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|3|J. Florence|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|E. Lau|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|M. McGillivray|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|E. Ewing|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|D. Silva|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|J. Robinson|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|L. Fioravanti|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|J. Chianca|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|M. Cibilic|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|M. Pupo|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|R. Callinan|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|1|G. Colapinto|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|K. Andino|||
2022|2022.03.20|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|N. Young|||
