Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|1|Y. Dora|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|2|K. Igarashi|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|3|J. Robinson|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|5|C. Houshmand|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|5|C. O'Leary|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|5|E. Ewing|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|5|J. Vaughan|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|J. Smith|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|C. Colapinto|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|B. Mamiya|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|J. Marshall|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|F. Toledo|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|J. Chianca|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|R. Waida|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|A. Muniz|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|M. Mignot|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|K. Slater|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|D. Poulos|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|S. Moniz|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|M. Pupo|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|A. Cleland|||
