Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|1|J. Robinson|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|2|L. Fioravanti|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|3|J. Chianca|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|4|C. Ibelli|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|J. Florence|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|6|F. Toledo|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|7|J. Smith|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|8|L. O'Brien|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|G. Medina|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|10|R. Callinan|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|11|I. Gentil|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|12|R. Waida|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|13|M. Pupo|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|14|Y. Dora|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|15|S. Moniz|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|16|C. Robson|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|M. Huscenot|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|18|J. Marshall|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|19|E. Ewing|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|20|S. Pupo|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|21|C. O'Leary|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|22|I. Ferreira|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|23|B. Mamiya|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|24|E. Lau|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|25|J. Baker|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|26|K. Igarashi|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|27|K. Andino|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|28|K. Slater|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|29|N. Young|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|30|C. Munoz|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|31|G. Colapinto|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|32|M. Rodrigues|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|M. McGillivray|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|34|I. deVault|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|35|J. Moniz|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|36|J. Andre|||
