Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|1|M. Pupo|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|2|Y. Dora|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|3|G. Medina|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|5|B. Mamiya|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|5|K. Igarashi|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|5|S. Pupo|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|G. Pittar|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|J. Smith|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|J. Marshall|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|A. Muniz|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|M. Mignot|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|F. Toledo|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|R. Waida|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|M. Herdy|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|D. Henry|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|L. Thompson|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|X. Huxtable|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|J. Vaughan|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|E. Ewing|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|S. Moniz|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|J. Chianca|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|C. Houshmand|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|M. Cibilic|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|C. Colapinto|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|K. Vaast|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|E. Hanneman|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|A. Cleland|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|J. Robinson|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|33|L. O'Brien|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|33|O. Berry|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|33|R. Boukhiam|||
2026|2026.04.08|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|33|C. Robson|||
