Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|2|E. Ewing|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|C. Ibelli|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|R. Waida|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|J. Chianca|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|S. Moniz|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|F. Toledo|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|C. Robson|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|S. Pupo|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|L. O'Brien|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|J. Andre|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|G. Medina|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|1|Y. Dora|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|I. Gentil|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|J. Robinson|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|3|R. Callinan|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|B. Mamiya|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|3|J. Florence|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|J. Smith|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|K. Igarashi|||
