Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|1|G. Medina|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|2|C. Coffin|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|4|F. Morais|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|5|M. Cibilic|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|6|Y. Dora|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|7|E. Ewing|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|8|K. Igarashi|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|9|J. Florence|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|10|R. Heazlewood|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|11|F. Toledo|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|12|I. Ferreira|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|13|J. Andre|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|14|J. Robinson|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|15|J. Smith|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|16|C. Ibelli|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|17|O. Wright|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|18|A. de Souza|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|19|D. Silva|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|20|J. Freestone|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|21|S. Moniz|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|22|M. Pupo|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|23|W. Carmichael|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|24|J. Flores|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|25|M. Fanning|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|26|A. Ribeiro|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|27|D. Moffat|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|28|J. Wilson|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|29|R. Callinan|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|30|M. Bourez|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|31|P. Crisanto|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|32|M. Wright|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|33|C. O'Leary|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|34|L. Fioravanti|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|35|A. Buchan|||
2021|2021.06.03|Narrabeen|Narrabeen, AUS|серфинг|короткая доска|мужчины|36|M. McGillivray|||
