Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|O. Wright|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|M. Wright|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|J. Robinson|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|J. Willcox|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|J. Smith|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|W. Carmichael|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|S. Kennedy|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|F. Toledo|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|E. Ewing|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|3|L. O'Brien|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|3|I. Ferreira|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|A. de Souza|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|33|T. Burrow|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|1|G. Medina|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|J. Freestone|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|K. Walsh|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|R. Callinan|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|C. O'Leary|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|5|C. Coffin|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|33|P. Crisanto|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|A. Ribeiro|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|F. Morais|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|33|J. Andre|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|33|J. Flores|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|S. Moniz|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|5|M. Pupo|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|C. Ibelli|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|5|Y. Dora|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|M. Bourez|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|2|M. Cibilic|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|5|J. Wilson|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|D. Silva|||
