Rank,Name,Sport Rank,Birth Year,Region,Category,2025,Total Points
1,Климова Мария,,0,Калининградская область,женщины,1650,1650
2,Гуслина Полина,,0,Калининградская область,женщины,1300,1300
3,Герасимова Екатерина,,0,Калининградская область,женщины,1133,1133
4,Алиса Болгова,,0,Калининградская область,женщины,1000,1000
5,Данькова Елизавета,,0,Калининградская область,женщины,800,800
6,Лукина Екатерина,,0,Калининградская область,женщины,600,600
7,Петрова Елизавета,,0,Калининградская область,женщины,600,600
8,Заховаева Ульяна,,0,Калининградская область,женщины,500,500
9,Обухова Татьяна,,0,Калининградская область,женщины,483,483
10,Шестакова Дари,,0,Калининградская область,женщины,445,445
11,Александровская Анна,,0,Мурманская область,женщины,445,445
12,Кузьмина Полина,,0,Санкт-Петербург,женщины,403,403
