Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|1|F. Toledo|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|2|G. Colapinto|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|3|J. Robinson|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|4|J. Chianca|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|M. McGillivray|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|6|C. Ibelli|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|7|N. Young|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|8|E. Ewing|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|10|L. Fioravanti|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|11|I. Ferreira|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|12|G. Medina|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|13|M. Pupo|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|14|K. Slater|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|15|S. Moniz|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|16|J. Florence|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|J. Baker|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|18|L. O'Brien|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|19|I. Gentil|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|20|Y. Dora|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|21|C. Munoz|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|22|R. Callinan|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|23|J. Smith|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|24|M. Rodrigues|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|25|R. Waida|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|26|K. Andino|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|27|B. Mamiya|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|28|K. Asing|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|29|C. Robson|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|30|J. Marshall|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|31|E. Hanneman|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|32|S. Pupo|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|C. O'Leary|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|34|M. Huscenot|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|35|K. Lenny|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|36|E. Lau|||
