Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|5|K. Igarashi|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|P. Crisanto|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|M. Cibilic|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|K. Andino|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|Y. Dora|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|F. Toledo|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|F. Morais|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|M. Wright|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|5|J. Smith|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|J. Andre|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|S. Zietz|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|2|G. Medina|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|33|A. de Souza|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Moniz|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|3|I. Ferreira|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|M. McGillivray|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|33|M. Tudela|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|1|J. Florence|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|33|C. Coffin|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|D. Silva|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|3|K. Slater|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|W. Carmichael|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|5|J. Flores|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|C. Ibelli|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|E. Ewing|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Wilson|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|M. Pupo|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|S. Moniz|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|J. Freestone|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|33|A. Ribeiro|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|17|M. Bourez|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|R. Callinan|||
2021|2021.01.29|Pipe Masters|Pipeline, HAW|серфинг|короткая доска|мужчины|9|J. Robinson|||
