Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|1|I. Ferreira|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|2|M. Cibilic|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|3|Y. Dora|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|5|F. Toledo|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|5|R. Waida|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|5|C. Houshmand|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|5|M. Pupo|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|C. Colapinto|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|G. Medina|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|L. O'Brien|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|A. Muniz|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|M. Mignot|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|9|J. Robinson|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|L. Thompson|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|E. Hanneman|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|S. Moniz|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|J. Smith|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|A. Cleland|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|J. Chianca|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|J. Marshall|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|E. Ewing|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|G. Pittar|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|S. Pupo|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|M. Herdy|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|J. Vaughan|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|K. Vaast|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|17|C. Robson|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|33|T. Butland|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|33|B. Stairmand|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|33|O. Berry|||
2026|2026.05.28|New Zealand|Raglan, NZL|серфинг|короткая доска|мужчины|33|R. Boukhiam|||
