Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|1|M. Pupo|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|2|K. Vaast|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|C. Ibelli|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|4|K. Slater|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|Y. Dora|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|6|K. Igarashi|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|7|N. Hedge|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|8|M. McGillivray|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Robinson|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|10|C. O'Leary|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|11|S. Pupo|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|12|E. Ewing|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|13|G. Colapinto|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|14|J. Andre|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|15|J. Smith|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|16|J. Marshall|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|18|C. Robson|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|19|I. Ferreira|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|20|N. Young|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|21|M. Bourez|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|22|S. Moniz|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|23|J. Baker|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|24|F. Toledo|||
