Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|I. Ferreira|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|M. McGillivray|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|Y. Dora|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|E. Ewing|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|2|K. Vaast|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Robinson|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|N. Young|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|M. Bourez|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|F. Toledo|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|K. Slater|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|N. Hedge|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|G. Colapinto|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Smith|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Andre|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|K. Igarashi|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|C. Ibelli|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|J. Baker|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|C. Robson|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|S. Pupo|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|S. Moniz|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|1|M. Pupo|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|C. O'Leary|||
2022|2022.08.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Marshall|||
