Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|1|J. Robinson|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|2|G. Colapinto|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|C. Colapinto|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|M. Braye|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|I. Ferreira|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|K. Vaast|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|E. Ewing|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|C. Houshmand|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Marshall|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Smith|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|Y. Dora|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|R. Waida|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|A. Cleland|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Chianca|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|M. Mignot|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|M. Pupo|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|S. Moniz|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|J. Vaughan|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|T. Tairoa|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|F. Toledo|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|B. Mamiya|||
