Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|1|I. Ferreira|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|2|G. Medina|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|3|M. Cibilic|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|4|F. Toledo|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|5|C. Coffin|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|6|D. Silva|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|7|R. Callinan|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|8|A. de Souza|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|9|J. Smith|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|10|O. Wright|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|11|K. Igarashi|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|12|W. Carmichael|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|13|G. Colapinto|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|14|Y. Dora|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|15|F. Morais|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|16|J. Wilson|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|17|J. Florence|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|18|L. Fioravanti|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|19|S. Moniz|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|20|P. Crisanto|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|21|A. Buchan|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|22|J. Baker|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|23|C. Colapinto|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|24|J. Freestone|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|25|M. Bourez|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|26|A. Ribeiro|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|27|C. O'Leary|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|28|M. Pupo|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|29|C. Ibelli|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|30|E. Ewing|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|31|J. Flores|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|32|J. Robinson|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|33|M. Wright|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|34|M. Banting|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|35|J. Andre|||
2021|2021.05.27|Newcastle Cup|Newcastle, AUS|серфинг|короткая доска|мужчины|36|M. McGillivray|||
