Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|Y. Dora|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|M. McGillivray|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|K. Matson|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|G. Medina|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|C. Robson|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|D. Silva|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Robinson|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|R. Waida|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|K. Slater|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|G. Colapinto|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|S. Moniz|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|R. Boukhiam|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|E. Ewing|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|C. Houshmand|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Bunch|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|F. Toledo|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|S. Pupo|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|S. Crawford|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|2|J. Florence|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|C. Ibelli|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|J. Marshall|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|L. O'Brien|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|F. Morais|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|R. Callinan|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|J. Smith|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|I. deVault|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|3|C. O'Leary|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|E. Hanneman|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|1|B. Mamiya|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|3|I. Gentil|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|C. Colapinto|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|M. Pupo|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|I. Ferreira|||
2024|2024.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Willcox|||
