Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|1|C. O'Leary|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|2|Y. Dora|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|4|F. Toledo|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|5|E. Ewing|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|6|K. Igarashi|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|7|L. Fioravanti|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|8|M. Mignot|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Chianca|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|10|C. Houshmand|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|11|I. Ferreira|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|12|J. Smith|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|13|B. Mamiya|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|14|J. Marshall|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|15|J. Robinson|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|16|C. Colapinto|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|17|R. Waida|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|18|M. Pupo|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|19|A. Cleland|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|20|A. Muniz|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|21|L. Thompson|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|22|M. McGillivray|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|23|J. Vaughan|||
2025|2025.07.11|J-Bay Open|Jeffrey's Bay, ZAF|серфинг|короткая доска|мужчины|24|S. Moniz|||
