Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|1|G. Medina|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|2|M. Cibilic|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|3|L. O'Brien|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|4|I. Ferreira|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|5|J. Wilson|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|6|C. Coffin|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|7|M. Pupo|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|8|Y. Dora|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|9|A. de Souza|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|10|M. Wright|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|11|M. Bourez|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|12|C. O'Leary|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|13|J. Smith|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|14|O. Wright|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|15|L. Fioravanti|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|16|S. Moniz|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|17|R. Callinan|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|18|F. Toledo|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|19|K. Igarashi|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|20|D. Silva|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|21|W. Carmichael|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|22|A. Ribeiro|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|23|S. Kennedy|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|24|J. Freestone|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|25|G. Colapinto|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|26|J. Robinson|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|27|J. Willcox|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|28|M. McGillivray|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|29|E. Ewing|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|30|K. Walsh|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|31|F. Morais|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|32|C. Ibelli|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|33|J. Flores|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|34|P. Crisanto|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|35|J. Andre|||
2021|2021.04.15|Rottnest Search|Rottnest Island, AUS|серфинг|короткая доска|мужчины|36|T. Burrow|||
