Rank,Name,Sport Rank,Birth Year,Region,Category,2024,2025,Total Points
1,Вахрушев Владимир,,0,Санкт-Петербург,мужчины,7800,10000,17800
2,Крысенков Глеб,,0,Санкт-Петербург,мужчины,6085,7800,13885
3,Копров Павел,,0,Санкт-Петербург,мужчины,5685,4545,10230
4,Илясов Дмитрий,,0,Санкт-Петербург,мужчины,10000,0,10000
5,Новожилов Данила,,0,Санкт-Петербург,мужчины,4745,4745,9490
6,Кравченко Алексей,,0,Санкт-Петербург,мужчины,4545,4545,9090
7,Комиссаров Никита,,0,Санкт-Петербург,мужчины,3120,5685,8805
8,Екимовский Ярослав,,0,Санкт-Петербург,мужчины,3320,4745,8065
9,Смирнов Михаил,,0,Санкт-Петербург,мужчины,4745,3320,8065
10,Порицкий Сергей,,0,Санкт-Петербург,мужчины,3320,3320,6640
11,Шашерин Олег,,0,Санкт-Петербург,мужчины,3320,3120,6440
12,Трофимов Владимир,,0,Санкт-Петербург,мужчины,0,6085,6085
13,Ломаев Владимир,,0,Санкт-Петербург,мужчины,4545,0,4545
14,Бутусов Владимир,,0,Санкт-Петербург,мужчины,0,3320,3320
15,Козлов Антон,,0,Санкт-Петербург,мужчины,0,3320,3320
16,Горба Руслан,,0,Санкт-Петербург,мужчины,3320,0,3320
17,Гончаров Иван,,0,Санкт-Петербург,мужчины,0,3120,3120
18,Гончаров Матвей,,0,Санкт-Петербург,мужчины,0,3120,3120
19,Диденко Павел,,0,Санкт-Петербург,мужчины,0,3120,3120
