Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|1|J. Robinson|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|2|G. Colapinto|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|M. Braye|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|4|C. Colapinto|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|K. Vaast|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|6|E. Ewing|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|7|I. Ferreira|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|8|C. Houshmand|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Chianca|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|10|A. Cleland|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|11|M. Mignot|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|12|L. Fioravanti|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|13|Y. Dora|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|14|J. Marshall|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|15|J. Smith|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|16|R. Waida|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|18|C. O'Leary|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|19|S. Moniz|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|20|M. Pupo|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|21|F. Toledo|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|22|B. Mamiya|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|23|J. Vaughan|||
2025|2025.08.08|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|24|T. Tairoa|||
