Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Chianca|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|B. Mamiya|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|S. Moniz|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|2|E. Ewing|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|C. Ibelli|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|R. Waida|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|G. Colapinto|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|L. O'Brien|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|K. Slater|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|1|F. Toledo|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|3|K. Igarashi|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|A. Masencamp|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|5|Y. Dora|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|5|C. O'Leary|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|5|I. Gentil|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Florence|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|I. Ferreira|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|C. Robson|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|3|G. Medina|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|R. Callinan|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|5|J. Robinson|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Smith|||
