Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|1|Y. Dora|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|2|K. Igarashi|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|3|J. Robinson|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|4|G. Colapinto|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|5|C. Houshmand|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|6|E. Ewing|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|7|C. O'Leary|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|8|J. Vaughan|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|9|F. Toledo|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|10|I. Ferreira|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|11|C. Colapinto|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|12|J. Smith|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|13|L. Fioravanti|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|14|J. Marshall|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|15|J. Chianca|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|16|B. Mamiya|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|17|M. Pupo|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|18|A. Cleland|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|19|R. Waida|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|20|A. Muniz|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|21|D. Poulos|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|22|M. Mignot|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|23|S. Moniz|||
2025|2025.06.06|Trestles Pro|San Clemente, USA|серфинг|короткая доска|мужчины|24|K. Slater|||
