Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|1|J. Robinson|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|2|D. Silva|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|3|M. Herdy|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|4|L. Fioravanti|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|5|I. Ferreira|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|6|C. Coffin|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|7|G. Medina|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|8|F. Morais|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|9|E. Ewing|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|10|R. Waida|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|11|K. Slater|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|12|Y. Dora|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|13|M. Cibilic|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|14|J. Andre|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|15|K. Andino|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|16|J. Flores|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|18|M. Bourez|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|19|K. Igarashi|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|20|W. Carmichael|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|21|R. Callinan|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|22|A. de Souza|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|23|M. Pupo|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|24|P. Crisanto|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|25|M. Wright|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|26|S. Moniz|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|27|C. Ibelli|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|28|F. Toledo|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|29|O. Wright|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|30|L. Mesinas|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|31|M. McGillivray|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|32|A. Buchan|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|33|C. O'Leary|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|34|A. Ribeiro|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|35|D. Cadena|||
2021|2021.06.22|Mexico Pro|Barra de la Cruz, MEX|серфинг|короткая доска|мужчины|36|J. Corzo|||
