Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|1|Y. Dora|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|2|E. Ewing|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|3|R. Callinan|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|4|J. Florence|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|B. Mamiya|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|6|S. Pupo|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|7|L. Fioravanti|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|8|J. Andre|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|10|J. Smith|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|11|F. Toledo|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|12|I. Gentil|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|13|S. Moniz|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|14|J. Chianca|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|15|L. O'Brien|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|16|I. Ferreira|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|G. Medina|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|18|R. Waida|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|19|C. Robson|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|20|C. Ibelli|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|21|C. O'Leary|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|22|J. Robinson|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|23|M. McGillivray|||
2023|2023.06.22|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|24|G. Colapinto|||
