Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|1|G. Pittar|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|2|G. Medina|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|S. Pupo|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|4|I. Ferreira|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|J. Vaughan|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|6|Y. Dora|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|7|C. Colapinto|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|8|E. Ewing|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|10|G. Colapinto|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|11|J. Chianca|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|12|L. Fioravanti|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|13|M. Pupo|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|14|J. Robinson|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|15|C. O'Leary|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|16|L. O'Brien|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|F. Toledo|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|18|K. Vaast|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|19|R. Boukhiam|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|20|J. Willcox|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|21|M. Mignot|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|22|J. Marshall|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|23|E. Hanneman|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|24|B. Mamiya|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|25|C. Houshmand|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|26|S. Moniz|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|27|J. Thomas|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|28|R. Waida|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|29|J. Smith|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|30|A. Cleland|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|31|A. Muniz|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|32|M. Cibilic|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|M. Herdy|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|34|O. Berry|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|35|L. Thompson|||
2026|2026.04.22|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|36|C. Robson|||
