Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|M. McGillivray|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|M. Rodrigues|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|C. Ibelli|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|E. Lau|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|E. Ewing|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|5|N. Young|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|C. Munoz|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|S. Moniz|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|K. Asing|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|3|J. Robinson|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|J. Marshall|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|E. Hanneman|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|1|F. Toledo|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|L. O'Brien|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|K. Lenny|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|M. Pupo|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|K. Slater|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|M. Huscenot|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|J. Florence|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|3|J. Chianca|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|J. Baker|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|2|G. Colapinto|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|S. Pupo|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|I. Gentil|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|C. Robson|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|Y. Dora|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|R. Waida|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|J. Smith|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|K. Andino|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|9|G. Medina|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|33|C. O'Leary|||
2023|2023.02.08|Sunset Beach|Sunset Beach, HAW|серфинг|короткая доска|мужчины|17|R. Callinan|||
