Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|1|J. Robinson|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|2|J. Florence|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|E. Ewing|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|4|M. McGillivray|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|G. Colapinto|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|6|I. Ferreira|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|7|N. Young|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|8|J. Smith|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|B. Mamiya|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|10|F. Toledo|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|11|C. Ibelli|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|12|J. Andre|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|13|S. Pupo|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|14|M. Pupo|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|15|C. Robson|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|16|K. Andino|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|L. Fioravanti|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|18|K. Igarashi|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|19|J. Chianca|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|20|E. Lau|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|21|C. Coffin|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|22|C. O'Leary|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|23|M. Cibilic|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|24|J. Marshall|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|25|R. Callinan|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|26|K. Slater|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|27|I. deVault|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|28|J. Baker|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|29|O. Wright|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|30|F. Morais|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|31|L. Mesinas|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|32|D. Silva|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|J. Willcox|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|34|B. Spence|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|35|J. Thomas|||
2022|2022.05.08|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|36|S. Moniz|||
