Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|1|G. Colapinto|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|2|E. Ewing|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|3|G. Medina|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|4|C. Colapinto|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|6|J. Marshall|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|7|R. Boukhiam|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|8|J. Duru|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|R. Waida|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|10|I. Ferreira|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|11|J. Florence|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|12|K. Igarashi|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|13|C. Houshmand|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|14|Y. Dora|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|15|J. Robinson|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|16|I. deVault|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|18|F. Morais|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|19|C. O'Leary|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|20|S. Pupo|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|21|D. Silva|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|22|J. Smith|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|23|C. Robson|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|24|S. Moniz|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|25|J. Willcox|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|26|B. Mamiya|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|27|M. Pupo|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|28|K. Matson|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|29|C. Ibelli|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|30|L. O'Brien|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|31|M. Canhoto|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|32|E. Hanneman|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|I. Gentil|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|34|R. Callinan|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|35|J. Chaves|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|36|M. Mignot|||
