Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|1|J. Smith|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|2|G. Colapinto|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|B. Mamiya|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|4|C. Colapinto|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|6|I. deVault|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|7|J. Willcox|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|8|C. O'Leary|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|A. Cleland|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|10|M. Mignot|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|11|M. Pupo|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|12|J. Chianca|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|13|J. Marshall|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|14|J. Bunch|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|15|K. Igarashi|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|16|M. McDonagh|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|E. Ewing|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|18|I. Gentil|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|19|L. O'Brien|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|20|I. Gouveia|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|21|I. Ferreira|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|22|J. Vaughan|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|23|G. Pittar|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|24|J. Robinson|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|25|Y. Dora|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|26|M. McGillivray|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|27|R. Waida|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|28|S. Pupo|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|29|C. Houshmand|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|30|E. Groggia|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|31|W. Vincent|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|32|F. Toledo|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|R. Callinan|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|34|A. Muniz|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|35|S. Moniz|||
2025|2025.05.09|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|36|D. Silva|||
