Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|M. Pupo|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|N. Young|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|I. Gentil|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Marshall|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|3|J. Chianca|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|E. Ewing|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|K. Andino|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|L. O'Brien|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|1|J. Robinson|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|J. Andre|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|E. Lau|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|I. Ferreira|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|S. Moniz|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|I. deVault|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|F. Toledo|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|J. Baker|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|J. Moniz|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|M. Rodrigues|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|3|C. Ibelli|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|K. Slater|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|C. Munoz|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|J. Smith|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|M. Huscenot|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|17|S. Pupo|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|33|M. McGillivray|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|R. Waida|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|C. Robson|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|Y. Dora|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|R. Callinan|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|5|J. Florence|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|9|G. Medina|||
2023|2023.01.29|Pipe Pro|Pipeline, HAW|серфинг|короткая доска|мужчины|2|L. Fioravanti|||
