Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|1|J. Smith|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|2|M. McGillivray|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|3|C. Houshmand|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|4|C. Colapinto|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|5|E. Ewing|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|6|Y. Dora|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|7|I. Ferreira|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|8|M. Pupo|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|10|A. Muniz|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|11|G. Pittar|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|12|A. Cleland|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|13|R. Boukhiam|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|14|J. Chianca|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|15|M. Mignot|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|16|C. O'Leary|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|R. Waida|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|18|J. Robinson|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|19|B. Perez|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|20|G. Colapinto|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|21|S. Moniz|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|22|R. Callinan|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|23|I. Gouveia|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|24|L. Slawson|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|25|J. Marshall|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|26|B. Mamiya|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|27|F. Toledo|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|28|J. Bunch|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|29|J. Vaughan|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|30|K. Igarashi|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|31|D. Silva|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|32|S. Pupo|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|33|I. Gentil|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|34|E. Groggia|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|35|L. O'Brien|||
2025|2025.03.21|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|36|I. deVault|||
