Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|1|J. Robinson|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|2|F. Toledo|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|3|G. Medina|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|4|C. O'Leary|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|5|J. Andre|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|6|K. Igarashi|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|7|G. Colapinto|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|8|M. McGillivray|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|9|M. Pupo|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|10|K. Andino|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|11|J. Florence|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|12|E. Ewing|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|13|R. Waida|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|14|S. Pupo|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|15|I. Ferreira|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|16|J. Marshall|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|17|J. Smith|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|18|Y. Dora|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|19|N. Young|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|20|B. Mamiya|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|21|K. Slater|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|22|J. Baker|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|23|C. Ibelli|||
2022|2022.07.29|G-Land Pro|G-Land, IDN|серфинг|короткая доска|мужчины|24|C. Robson|||
