Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|1|E. Ewing|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|2|C. O'Leary|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|3|L. O'Brien|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|4|F. Toledo|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|6|S. Pupo|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|7|M. Herdy|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|8|K. Vaast|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|G. Medina|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|10|M. Pupo|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|11|M. Mignot|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|12|I. Ferreira|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|13|J. Robinson|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|14|G. Pittar|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|15|J. Marshall|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|16|C. Robson|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|17|C. Houshmand|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|18|G. Colapinto|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|19|K. Igarashi|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|20|R. Waida|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|21|J. Smith|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|22|B. Mamiya|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|23|C. Colapinto|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|24|Y. Dora|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|25|S. Moniz|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|26|L. Thompson|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|27|M. Cibilic|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|28|J. Vaughan|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|29|A. Muniz|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|30|J. Chianca|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|31|A. Cleland|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|32|E. Hanneman|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|33|R. Heazlewood|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|34|R. Boukhiam|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|35|O. Berry|||
2026|2026.05.03|Gold Coast|Gold Coast, AUS|серфинг|короткая доска|мужчины|36|W. Vincent|||
