Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|1|J. Florence|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|2|Y. Dora|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|3|M. McGillivray|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|3|G. Medina|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|5|J. Robinson|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|5|C. Colapinto|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|5|J. Chianca|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|5|J. Smith|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|E. Ewing|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|R. Waida|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|C. O'Leary|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|G. Colapinto|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|R. Callinan|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|B. Perez|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|L. Fioravanti|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|9|J. Marshall|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|L. O'Brien|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|I. Ferreira|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|R. Boukhiam|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|S. Moniz|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|I. deVault|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2024|2024.06.07|El Salvador Pro|El Salvador, SLV|серфинг|короткая доска|мужчины|17|C. Houshmand|||
