Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|1|F. Toledo|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|2|E. Ewing|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|3|G. Medina|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|4|K. Igarashi|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|5|J. Robinson|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|6|I. Gentil|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|7|C. O'Leary|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|8|Y. Dora|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|9|J. Florence|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|10|R. Callinan|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|11|J. Smith|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|12|G. Colapinto|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|13|L. Fioravanti|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|14|J. Chianca|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|15|R. Waida|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|16|B. Mamiya|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|17|I. Ferreira|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|18|M. McGillivray|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|19|S. Moniz|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|20|A. Masencamp|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|21|C. Ibelli|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|22|L. O'Brien|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|23|K. Slater|||
2023|2023.07.21|J-Bay Open|Jeffreys Bay, ZAF|серфинг|короткая доска|мужчины|24|C. Robson|||
