Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|1|F. Toledo|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|2|C. Robson|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|3|J. Robinson|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|4|E. Ewing|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|5|J. Florence|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|6|I. Ferreira|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|7|M. Pupo|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|8|O. Wright|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|9|N. Young|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|10|S. Pupo|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|11|I. deVault|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|12|M. Fanning|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|13|C. O'Leary|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|14|K. Andino|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|15|J. Baker|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|16|M. Cibilic|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|17|J. Chianca|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|18|D. Silva|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|19|K. Igarashi|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|20|M. Wright|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|21|J. Andre|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|22|K. Slater|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|23|B. Mamiya|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|24|F. Morais|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|25|E. Lau|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|26|R. Callinan|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|27|G. Colapinto|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|28|J. Smith|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|29|L. Mesinas|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|30|L. Fioravanti|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|31|J. Marshall|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|32|C. Ibelli|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|33|T. Wylie|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|34|M. McGillivray|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|35|C. Coffin|||
2022|2022.04.20|Bells Beach|Bells Beach, AUS|серфинг|короткая доска|мужчины|36|S. Moniz|||
