Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|1|G. Colapinto|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|2|E. Ewing|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|3|C. Colapinto|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|3|G. Medina|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|J. Marshall|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|J. Duru|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|R. Boukhiam|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|5|L. Fioravanti|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|C. Houshmand|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|I. deVault|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|J. Florence|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|R. Waida|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|J. Robinson|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|I. Ferreira|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|9|Y. Dora|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|B. Mamiya|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|D. Silva|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|C. Robson|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|M. Canhoto|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|J. Willcox|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|J. Smith|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|K. Matson|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|S. Moniz|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|E. Hanneman|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|M. Pupo|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|S. Pupo|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|C. Ibelli|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|L. O'Brien|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|17|F. Morais|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|M. Mignot|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|J. Chaves|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|R. Callinan|||
2024|2024.03.08|Portugal Pro|Peniche, PRT|серфинг|короткая доска|мужчины|33|I. Gentil|||
