Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|E. Ewing|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|S. Moniz|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|2|J. Florence|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|R. Waida|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|Y. Dora|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|J. Robinson|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|R. Boukhiam|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|K. Slater|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|G. Colapinto|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|1|I. Ferreira|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|M. Braye|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Smith|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|C. Colapinto|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|M. McGillivray|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|J. Marshall|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|I. deVault|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|3|G. Medina|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|B. Mamiya|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|L. O'Brien|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|5|R. Callinan|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|C. Houshmand|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2024|2024.05.17|Tahiti Pro|Teahupo'o, PYF|серфинг|короткая доска|мужчины|17|L. Fioravanti|||
