Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|1|B. Johnson|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|2|S. Fitzgibbons|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|3|S. Gilmore|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|4|M. Picklum|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|5|I. Nichols|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|6|L. Silva|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|7|E. Brooks|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|8|V. Fierro|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|S. Lindblad|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|10|G. Bryan|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|11|C. Simmers|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|12|C. Marks|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|13|S. McCulloch|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|14|B. Kenworthy|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|15|L. Peterson|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|16|T. Wright|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|17|B. Hennessy|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|18|N. Erostarbe|||
