Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|1|B. Johnson|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|2|S. Fitzgibbons|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|5|M. Picklum|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|5|E. Brooks|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|5|L. Silva|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|5|S. Gilmore|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|5|I. Nichols|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|5|V. Fierro|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|C. Simmers|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|G. Bryan|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|B. Kenworthy|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|S. McCulloch|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|L. Peterson|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|T. Wright|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|C. Marks|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|9|S. Lindblad|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|17|N. Erostarbe|||
2025|2025.04.25|Gold Coast Pro|Gold Coast, AUS|серфинг|короткая доска|мужчины|17|B. Hennessy|||
