Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|1|G. Colapinto|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|2|R. Waida|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|3|E. Ewing|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|4|J. Robinson|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|5|Y. Dora|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|6|I. deVault|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|7|G. Medina|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|8|B. Mamiya|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|9|J. Marshall|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|10|S. Moniz|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|11|C. O'Leary|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|12|C. Colapinto|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|13|R. Boukhiam|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|14|I. Ferreira|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|15|R. Callinan|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|16|J. Florence|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|17|J. Smith|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|18|C. Houshmand|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|19|L. O'Brien|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|20|L. Fioravanti|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|21|M. McGillivray|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|22|K. Slater|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|23|T. Gukilau|||
2024|2024.07.20|Fiji Pro|Tavarua, FJI|серфинг|короткая доска|мужчины|24|K. Igarashi|||
