Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|1|F. Toledo|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|2|S. Pupo|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|3|Y. Dora|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|4|I. Ferreira|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|5|M. Pupo|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|6|C. O'Leary|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|7|M. Herdy|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|8|C. Robson|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|9|E. Ewing|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|10|J. Baker|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|11|M. McGillivray|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|12|J. Robinson|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|13|N. Young|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|14|M. Tudela|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|15|C. Ibelli|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|16|M. Rodrigues|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|17|K. Igarashi|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|18|G. Colapinto|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|19|K. Andino|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|20|J. Smith|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|21|J. Andre|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|22|J. Marshall|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|23|G. Medina|||
2022|2022.06.26|Rio Pro|Rio de Janeiro, BRA|серфинг|короткая доска|мужчины|24|J. Chianca|||
