Год|Дата|Событие|Место проведения|Вид спорта|Дисциплина|Категория|Место|ФИО|Год рождения|Разряд|Регион
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|K. Igarashi|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|S. Moniz|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|A. Ribeiro|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|1|F. Toledo|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|P. Crisanto|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|C. O'Leary|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|J. Florence|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|M. Bourez|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|M. Wright|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|2|J. Smith|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|J. Andre|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|R. Heazlewood|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|I. Ferreira|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Robinson|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|J. Willcox|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|G. Medina|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|A. de Souza|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|C. Cox|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|C. Coffin|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|W. Carmichael|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|M. McGillivray|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|3|G. Colapinto|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|33|J. Freestone|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|L. Fioravanti|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|5|R. Callinan|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|M. Cibilic|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|A. Buchan|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|F. Morais|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|J. Wilson|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|M. Pupo|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|J. Flores|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|O. Wright|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|D. Silva|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|Y. Dora|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|9|C. Ibelli|||
2021|2021.04.01|Margaret River|Margaret River, AUS|серфинг|короткая доска|мужчины|17|E. Ewing|||
